Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_vehicle,multiple_deliveries,City,Time_taken(min),Day_Ordered,Month_Ordered,Year_Ordered,Type_of_order_Buffet,Type_of_order_Drinks,Type_of_order_Meal,Type_of_order_Snack,Festival_Yes
35.0,4.3,13.064181,80.236442,13.134181,80.306442,2,3,1,1,1.0,2,33,14,3,2022,0,0,0,1,0
29.6091523786525,,19.121999,72.908493,19.201999,72.988493,2,3,1,2,1.0,2,33,6,4,2022,0,1,0,0,0
37.0,4.7,21.149569,72.772697,21.239569,72.862697,4,1,0,1,3.0,2,52,4,4,2022,0,0,0,1,0
28.0,4.6,19.091458,72.827808,19.201458,72.937808,5,1,1,2,1.0,2,22,8,3,2022,0,0,0,1,0
37.0,4.9,22.539129,88.365507,22.559129,88.385507,1,4,1,2,1.0,3,16,13,2,2022,0,0,0,1,0
23.0,4.9,19.221315,72.862381,19.281315,72.922381,6,1,2,3,0.0,2,11,24,3,2022,0,1,0,0,0
27.0,4.9,12.970324,77.645748,13.030324,77.705748,3,3,1,2,1.0,2,25,19,3,2022,0,1,0,0,0
37.0,4.8,13.064181,80.236442,13.104181,80.276442,2,3,0,1,1.0,3,26,9,3,2022,0,1,0,0,0
33.0,5.0,21.175975,72.795503,21.185975,72.805503,6,2,2,2,1.0,2,18,19,3,2022,0,0,0,1,0
31.0,4.9,23.369746,85.33982,23.409746,85.37982,1,3,1,1,1.0,2,16,3,4,2022,0,0,0,1,0
31.0,4.8,12.914264,77.6784,13.024264,77.7884,5,4,2,2,1.0,2,23,25,3,2022,0,1,0,0,0
25.0,5.0,0.0,0.0,0.03,0.03,2,4,0,1,0.0,2,15,13,2,2022,0,0,0,1,0
28.0,4.8,11.003681,76.975525,11.083681,77.055525,4,1,0,1,1.0,2,36,4,4,2022,0,1,0,0,0
31.0,4.7,21.173343,72.792731,21.233343,72.852731,2,4,2,1,0.0,2,16,26,3,2022,0,0,0,1,0
24.0,4.7,10.96185,76.971082,11.05185,77.061082,6,3,0,1,0.0,3,19,10,3,2022,1,0,0,0,0
39.0,4.6,27.165108,78.015053,27.255108,78.105053,6,4,1,1,1.0,2,27,14,2,2022,0,0,0,1,0
39.0,4.2,0.0,0.0,0.08,0.08,1,1,2,2,1.0,1,49,2,3,2022,0,0,0,1,0
36.0,4.7,0.0,0.0,0.06,0.06,2,1,1,1,1.0,2,30,13,3,2022,0,0,0,1,0
25.0,4.8,26.913987,75.752891,26.993987,75.832891,4,4,1,2,0.0,3,18,29,3,2022,0,1,0,0,0
33.0,4.9,12.3085,76.665808,12.3385,76.695808,6,1,2,2,0.0,2,22,30,3,2022,0,1,0,0,0
30.0,4.4,21.183434,72.814492,21.253434,72.884492,2,4,2,2,1.0,2,34,12,3,2022,0,1,0,0,0
33.0,5.0,19.254567,72.848923,19.364567,72.958923,4,4,0,1,0.0,3,24,31,3,2022,1,0,0,0,0
36.0,4.9,18.55144,73.804855,18.59144,73.844855,1,3,2,2,1.0,2,17,17,3,2022,0,1,0,0,0
21.0,4.8,25.449659,81.839744,25.469659,81.859744,4,4,2,3,0.0,2,14,15,2,2022,0,0,1,0,0
39.0,4.9,30.372202,78.077151,30.422202,78.127151,5,1,2,1,1.0,2,30,15,2,2022,0,0,1,0,0
23.0,4.8,0.0,0.0,0.02,0.02,5,4,1,2,1.0,2,15,7,3,2022,0,0,1,0,0
35.0,4.8,0.0,0.0,0.04,0.04,1,3,2,2,1.0,3,16,28,3,2022,1,0,0,0,0
39.0,4.6,12.972793,80.249982,13.062793,80.339982,2,1,1,2,1.0,2,36,16,3,2022,0,0,0,1,0
22.0,4.7,21.157735,72.768778,21.197735,72.808778,6,2,1,2,1.0,3,18,17,3,2022,1,0,0,0,0
32.0,4.6,21.186438,72.794115,21.226438,72.834115,1,3,1,2,0.0,2,17,15,3,2022,0,0,1,0,0
24.0,4.8,0.0,0.0,0.08,0.08,4,4,1,1,1.0,3,15,25,3,2022,1,0,0,0,0
29.0,4.7,0.0,0.0,0.02,0.02,1,4,0,1,1.0,2,17,9,3,2022,1,0,0,0,0
26.0,4.7,17.431477,78.40035,17.491477,78.46035,1,4,1,1,0.0,2,10,5,3,2022,1,0,0,0,0
20.0,4.5,0.0,0.0,0.05,0.05,1,1,1,1,1.0,2,27,11,2,2022,0,1,0,0,0
35.0,4.1,13.064181,80.236442,13.154181,80.326442,4,1,1,1,2.0,2,37,12,3,2022,1,0,0,0,0
39.0,4.6,12.933298,77.614293,13.023298,77.704293,1,1,1,2,2.0,2,44,29,3,2022,0,1,0,0,0
34.0,4.7,22.311358,73.164798,22.351358,73.204798,3,2,2,3,1.0,2,28,19,3,2022,0,1,0,0,0
27.0,4.7,12.934365,77.616155,13.044365,77.726155,2,1,2,2,1.0,2,42,10,3,2022,0,0,0,1,0
30.0,4.8,0.0,0.0,0.11,0.11,3,4,1,1,1.0,2,25,16,2,2022,0,0,0,1,0
25.0,4.4,13.086438,80.220672,13.196438,80.330672,2,3,2,2,1.0,2,39,27,3,2022,0,0,0,1,0
25.0,4.7,19.254567,72.848923,19.364567,72.958923,5,3,0,1,0.0,3,20,27,3,2022,0,0,1,0,0
30.0,5.0,26.913483,75.803139,26.933483,75.823139,5,2,1,1,1.0,2,31,24,3,2022,1,0,0,0,0
24.0,4.6,17.411028,78.329645,17.471028,78.389645,5,1,1,1,0.0,2,13,9,3,2022,1,0,0,0,0
25.0,4.8,15.5696,73.742294,15.6096,73.782294,3,2,1,2,1.0,3,19,15,2,2022,0,0,0,1,0
37.0,4.6,19.876428,75.364792,19.956428,75.444792,1,4,0,1,2.0,3,42,18,2,2022,1,0,0,0,1
24.0,5.0,12.939496,77.625999,12.949496,77.635999,1,4,0,1,1.0,2,23,1,3,2022,0,1,0,0,0
25.0,4.2,17.433809,78.386744,17.543809,78.496744,5,1,0,1,1.0,2,39,23,3,2022,0,0,1,0,0
32.0,4.6,23.374878,85.335739,23.384878,85.345739,5,4,2,1,1.0,2,25,1,4,2022,0,1,0,0,0
34.0,4.7,-27.163303,78.057044,27.233303,78.127044,4,4,1,2,0.0,2,15,16,2,2022,0,1,0,0,0
38.0,4.9,22.74806,75.8934,22.76806,75.9134,2,4,2,2,1.0,3,15,11,3,2022,0,1,0,0,0
36.0,4.8,26.891191,75.802083,26.981191,75.892083,6,3,2,3,0.0,2,15,14,3,2022,1,0,0,0,0
29.0,5.0,12.316967,76.603067,12.366967,76.653067,6,4,0,1,0.0,2,18,1,4,2022,0,1,0,0,0
36.0,4.7,18.927584,72.832585,19.017584,72.922585,4,4,2,3,0.0,2,29,4,4,2022,0,1,0,0,0
33.0,4.7,11.022298,76.998349,11.072298,77.048349,1,4,0,1,0.0,2,20,11,3,2022,0,0,0,1,0
36.0,4.4,12.325461,76.632278,12.365461,76.672278,2,2,2,2,1.0,2,39,13,3,2022,0,0,1,0,0
21.0,4.8,18.530963,73.828972,18.640963,73.938972,3,4,0,1,0.0,2,19,4,3,2022,0,0,0,1,0
25.0,4.8,17.458998,78.500366,17.488998,78.530366,2,4,1,2,1.0,3,19,26,3,2022,0,0,0,1,0
23.0,4.8,19.1813,72.836191,19.3113,72.966191,3,4,0,1,0.0,2,17,16,3,2022,0,0,1,0,0
25.0,4.6,11.022477,76.995667,11.032477,77.005667,5,4,2,1,1.0,3,15,1,3,2022,0,0,0,1,0
24.0,4.3,22.727021,75.884167,22.747021,75.904167,4,4,0,1,0.0,3,19,15,3,2022,0,0,1,0,0
27.0,4.6,12.979166,77.640709,13.069166,77.730709,4,1,0,1,1.0,2,29,4,3,2022,1,0,0,0,0
23.0,4.8,18.994237,72.825553,19.104237,72.935553,2,4,2,2,1.0,3,22,18,3,2022,0,0,0,1,0
21.0,4.3,12.284747,76.625861,12.414747,76.755861,1,1,1,2,0.0,2,42,23,3,2022,0,1,0,0,0
27.0,4.7,21.175975,72.795503,21.195975,72.815503,4,4,2,2,0.0,3,12,15,3,2022,0,0,0,1,0
32.0,4.2,11.000762,76.981876,11.130762,77.111876,2,1,1,1,1.0,2,38,8,3,2022,0,0,0,1,0
25.0,4.6,21.173343,72.792731,21.283343,72.902731,6,4,0,1,1.0,2,23,10,3,2022,0,1,0,0,0
39.0,4.7,26.479108,80.315042,26.499108,80.335042,2,4,1,2,0.0,2,15,11,2,2022,0,0,1,0,0
27.0,4.6,21.175104,72.804342,21.255104,72.884342,6,4,0,1,1.0,2,24,14,3,2022,0,0,0,1,0
39.0,3.8,19.176269,72.836721,19.286269,72.946721,3,1,1,1,0.0,2,37,16,3,2022,0,1,0,0,0
31.0,4.8,12.975377,77.696664,13.025377,77.746664,4,4,1,2,0.0,2,24,1,3,2022,0,0,0,1,0
31.0,4.8,23.359194,85.325447,23.419194,85.385447,6,4,2,3,0.0,2,13,1,3,2022,1,0,0,0,0
36.0,4.9,23.359407,85.325055,23.439407,85.405055,2,3,0,1,1.0,3,42,2,3,2022,0,1,0,0,0
20.0,4.9,23.416792,85.316842,23.506792,85.406842,4,4,0,1,1.0,2,17,20,3,2022,0,0,1,0,0
24.0,4.6,26.892312,75.806896,26.922313,75.836896,2,1,0,1,0.0,2,25,3,4,2022,0,1,0,0,0
39.0,4.2,22.761593,75.886362,22.871593,75.996362,1,3,1,2,0.0,2,39,29,3,2022,0,0,0,1,0
37.0,4.8,11.026117,76.944652,11.066117,76.984652,6,2,2,2,0.0,2,18,17,3,2022,0,0,1,0,0
32.0,4.9,13.064181,80.236442,13.104181,80.276442,4,3,2,1,1.0,2,28,17,3,2022,0,1,0,0,0
22.0,4.5,26.483042,80.317833,26.533042,80.367833,4,4,1,2,1.0,2,18,15,2,2022,0,1,0,0,0
23.0,4.9,11.000762,76.981876,11.130762,77.111876,3,4,1,2,0.0,2,18,18,3,2022,0,0,1,0,0
33.0,4.7,23.359033,85.325347,23.469033,85.435347,1,1,1,2,1.0,2,49,8,3,2022,0,0,0,1,0
23.0,,22.569358,88.433452,22.599358,88.463452,6,4,0,1,0.0,2,15,17,2,2022,0,1,0,0,0
27.0,4.6,12.914264,77.6784,12.994264,77.7584,6,4,0,1,1.0,2,21,31,3,2022,0,1,0,0,0
34.0,4.7,19.121999,72.908493,19.161999,72.948493,6,2,2,2,0.0,2,23,1,3,2022,0,0,0,1,0
26.0,5.0,21.157729,72.768726,21.167729,72.778726,1,4,2,2,1.0,3,11,3,4,2022,0,0,1,0,0
31.0,4.6,22.311603,73.165012,22.371603,73.225012,2,1,0,1,0.0,2,25,24,3,2022,0,0,0,1,0
32.0,4.9,18.536562,73.896485,18.556562,73.916485,1,4,2,1,0.0,2,18,7,3,2022,0,0,0,1,0
27.0,4.7,22.745536,75.893106,22.765536,75.913106,2,4,1,1,0.0,2,14,9,3,2022,1,0,0,0,0
21.0,4.9,12.933298,77.614293,13.023298,77.704293,3,3,0,1,2.0,2,36,12,3,2022,0,1,0,0,0
24.0,4.9,0.0,0.0,0.04,0.04,1,3,1,2,1.0,3,17,30,3,2022,0,0,1,0,0
33.0,4.4,17.426228,78.407495,17.436228,78.417495,4,4,0,1,1.0,2,28,5,3,2022,0,0,0,1,0
20.0,4.6,12.934365,77.616155,13.024365,77.706155,1,1,0,1,0.0,2,44,18,3,2022,1,0,0,0,1
31.0,4.3,11.003669,76.976494,11.063669,77.036494,3,4,0,1,1.0,2,20,13,3,2022,0,0,0,1,0
36.0,5.0,22.311358,73.164798,22.381358,73.234798,1,1,1,1,1.0,2,35,31,3,2022,0,0,0,1,0
31.0,4.2,12.986047,80.218114,13.096047,80.328114,4,1,0,1,1.0,2,50,23,3,2022,0,0,1,0,0
39.0,4.1,17.41233,78.449654,17.47233,78.509654,5,1,1,2,1.0,2,34,24,3,2022,0,0,1,0,0
29.0,4.6,21.186884,72.793616,21.226884,72.833616,4,2,1,2,0.0,3,23,3,3,2022,0,0,0,1,0
37.0,4.9,11.026117,76.944652,11.056117,76.974652,1,3,0,1,1.0,2,27,9,3,2022,1,0,0,0,0
33.0,4.7,0.0,0.0,0.04,0.04,2,2,0,1,0.0,3,26,17,3,2022,0,0,0,1,0
31.0,3.9,19.065838,72.832658,19.135838,72.902658,2,4,1,2,1.0,2,35,18,3,2022,1,0,0,0,0
37.0,4.6,0.0,0.0,0.04,0.04,3,2,0,1,1.0,3,41,19,3,2022,0,1,0,0,0
24.0,4.6,11.022477,76.995667,11.132477,77.105667,5,3,0,1,0.0,2,30,4,3,2022,0,0,0,1,0
23.0,4.8,0.0,0.0,0.02,0.02,3,4,1,2,1.0,2,19,3,4,2022,1,0,0,0,0
36.0,4.9,0.0,0.0,0.01,0.01,3,4,1,2,1.0,2,27,11,3,2022,1,0,0,0,0
39.0,4.8,12.310972,76.659264,12.350972,76.699264,2,2,0,1,1.0,2,28,1,4,2022,0,0,0,1,0
20.0,4.7,11.025083,77.015393,11.105083,77.095393,4,3,0,1,1.0,2,24,20,3,2022,0,1,0,0,0
20.0,5.0,12.316967,76.603067,12.446967,76.733067,2,1,0,1,1.0,3,36,31,3,2022,0,0,1,0,0
29.0,4.3,22.538731,88.364878,22.598731,88.424878,4,4,0,1,0.0,2,28,13,2,2022,1,0,0,0,0
36.0,4.8,11.001753,76.986241,11.111753,77.096241,1,3,2,1,1.0,3,31,29,3,2022,0,1,0,0,0
36.0,4.0,22.310237,73.158921,22.400237,73.248921,6,1,0,1,3.0,2,44,16,3,2022,0,0,1,0,0
22.0,4.8,23.359033,85.325347,23.439033,85.405347,3,4,1,2,1.0,2,15,14,3,2022,0,1,0,0,0
38.0,4.4,18.593481,73.785901,18.663481,73.855901,3,3,0,1,1.0,2,33,31,3,2022,1,0,0,0,0
39.0,4.9,21.186438,72.794115,21.236438,72.844115,1,1,0,1,0.0,2,30,17,3,2022,1,0,0,0,0
24.0,4.9,22.725748,75.898497,22.775748,75.948497,5,3,1,2,1.0,2,22,28,3,2022,0,0,0,1,0
30.0,4.1,0.0,0.0,0.07,0.07,1,4,0,1,0.0,2,43,4,4,2022,0,0,0,1,0
35.0,4.8,17.450851,78.379347,17.540851,78.469347,1,3,0,1,3.0,2,48,4,3,2022,0,0,1,0,0
33.0,4.5,13.081878,80.248519,13.171878,80.338519,5,4,2,3,1.0,2,19,4,3,2022,0,1,0,0,0
39.0,4.7,10.035573,76.336958,10.105573,76.406958,3,3,1,1,1.0,3,21,14,2,2022,0,0,0,1,0
31.0,4.3,22.308096,73.167753,22.388096,73.247753,3,1,1,1,0.0,2,44,25,3,2022,0,1,0,0,0
37.0,4.5,12.975996,80.221898,12.985996,80.231898,3,4,2,2,0.0,2,26,17,3,2022,0,1,0,0,0
37.0,4.7,12.3085,76.665808,12.3385,76.695808,3,4,1,2,1.0,2,26,1,4,2022,1,0,0,0,0
33.0,5.0,19.178321,72.834715,19.188321,72.844715,3,2,1,1,1.0,2,31,19,3,2022,0,0,1,0,0
24.0,4.6,0.0,0.0,0.06,0.06,5,4,2,2,1.0,3,19,7,3,2022,0,0,1,0,0
33.0,4.5,26.910262,75.783013,26.990262,75.863013,6,1,1,2,0.0,2,18,2,3,2022,0,0,0,1,0
39.0,4.7,25.443994,81.860187,25.513994,81.930187,1,3,2,1,1.0,2,38,16,2,2022,0,0,1,0,0
37.0,4.6,23.359194,85.325447,23.449194,85.415447,2,3,1,1,1.0,2,32,29,3,2022,0,0,0,1,0
25.0,4.9,17.458998,78.500366,17.508998,78.550366,4,4,2,2,1.0,2,17,7,3,2022,0,0,1,0,0
28.0,4.8,18.530963,73.828972,18.590963,73.888972,1,3,1,2,1.0,3,11,3,3,2022,1,0,0,0,0
38.0,4.7,12.321214,76.621094,12.361214,76.661094,3,2,2,1,1.0,2,31,30,3,2022,1,0,0,0,0
29.6091523786525,,26.913483,75.803139,26.983483,75.873139,4,3,0,1,0.0,2,43,12,3,2022,0,1,0,0,0
31.0,4.6,12.3085,76.665808,12.3685,76.725808,3,3,0,1,0.0,2,25,19,3,2022,0,0,1,0,0
25.0,4.8,19.055831,72.833984,19.115831,72.893984,2,1,2,1,1.0,2,22,15,3,2022,0,0,0,1,0
35.0,4.9,12.337928,76.617889,12.407928,76.687889,1,1,0,1,3.0,2,43,2,3,2022,0,1,0,0,0
39.0,4.7,23.351489,85.324253,23.421489,85.394253,1,1,0,1,1.0,2,42,31,3,2022,1,0,0,0,1
38.0,3.9,22.728163,75.884212,22.808163,75.964212,5,1,1,1,0.0,2,42,6,3,2022,0,0,1,0,0
35.0,4.7,13.026286,80.275235,13.056286,80.305235,1,1,1,1,1.0,2,34,21,3,2022,0,1,0,0,0
29.0,4.7,26.766536,75.837333,26.786536,75.857333,4,4,1,1,1.0,2,17,1,3,2022,0,0,0,1,0
27.0,4.6,21.149834,72.778666,21.179834,72.808666,5,1,1,2,0.0,2,25,24,3,2022,0,0,0,1,0
38.0,4.3,12.3085,76.665808,12.3985,76.755808,4,1,0,1,1.0,1,54,4,4,2022,0,0,1,0,1
36.0,4.9,21.149669,72.772629,21.219669,72.842629,3,4,2,1,0.0,2,21,2,3,2022,1,0,0,0,0
26.0,4.1,26.482581,80.315628,26.572581,80.405628,1,1,2,1,1.0,2,36,12,2,2022,0,0,1,0,0
36.0,4.9,12.284747,76.625861,12.344747,76.685861,6,3,1,1,0.0,2,17,5,4,2022,0,1,0,0,0
21.0,4.7,26.911378,75.789034,26.921378,75.799034,6,4,0,1,1.0,2,16,3,3,2022,0,0,1,0,0
35.0,4.7,13.02978,80.208812,13.10978,80.288812,6,1,2,3,1.0,2,27,6,4,2022,0,0,1,0,0
20.0,4.5,12.323194,76.630583,12.363194,76.670583,1,2,2,1,1.0,2,26,17,3,2022,0,0,1,0,0
23.0,4.6,18.563934,73.915367,18.653934,74.005367,1,1,0,1,2.0,2,46,31,3,2022,0,0,0,1,1
37.0,5.0,22.569367,88.433187,22.629367,88.493187,6,1,0,1,0.0,2,29,17,2,2022,1,0,0,0,0
26.0,4.8,12.949934,77.699386,13.009934,77.759386,4,1,0,1,1.0,2,23,9,3,2022,0,0,0,1,0
26.0,4.9,22.725835,75.887648,22.835835,75.997648,5,3,1,1,0.0,2,28,25,3,2022,0,0,0,1,0
29.0,4.8,18.536562,73.896485,18.596562,73.956485,2,1,0,1,1.0,2,25,11,3,2022,0,0,1,0,0
29.0,4.7,23.416792,85.316842,23.436792,85.336842,4,4,2,1,0.0,2,11,3,3,2022,0,0,0,1,0
21.0,4.9,30.89286,75.822199,30.92286,75.852199,3,3,1,2,1.0,2,26,15,2,2022,0,0,1,0,0
22.0,4.3,12.310972,76.659264,12.330972,76.679264,5,4,0,1,1.0,2,23,7,3,2022,0,0,1,0,0
31.0,4.0,26.913987,75.752891,26.993987,75.832891,1,3,1,1,2.0,2,39,18,3,2022,0,0,0,1,0
36.0,4.8,12.933284,77.615428,13.003284,77.685428,1,3,0,1,1.0,2,43,6,3,2022,0,0,0,1,0
32.0,4.7,12.352058,76.60665,12.362058,76.61665,3,4,2,3,0.0,2,25,21,3,2022,1,0,0,0,0
25.0,5.0,13.086438,80.220672,13.146439,80.280672,3,3,1,1,0.0,2,27,19,3,2022,0,1,0,0,0
27.0,4.5,17.429585,78.392621,17.469585,78.432621,3,3,2,2,1.0,2,29,28,3,2022,0,1,0,0,0
32.0,4.1,12.978453,77.643685,13.048453,77.713685,4,3,0,1,1.0,2,33,29,3,2022,1,0,0,0,0
23.0,4.7,13.044694,80.26147,13.084694,80.30147,1,3,1,1,1.0,3,19,17,3,2022,0,1,0,0,0
39.0,4.4,12.98041,77.640489,13.11041,77.770489,6,3,0,1,1.0,2,33,29,3,2022,0,0,1,0,0
20.0,4.8,0.0,0.0,0.06,0.06,1,1,1,1,1.0,2,28,21,3,2022,0,0,0,1,0
29.0,4.6,25.449659,81.839744,25.479659,81.869744,5,1,1,2,1.0,2,29,15,2,2022,0,0,1,0,0
26.0,4.9,26.911927,75.797282,27.051927,75.937282,5,4,2,2,1.0,2,18,29,3,2022,0,0,1,0,0
25.0,5.0,10.020683,76.310631,10.030683,76.320631,5,4,1,1,1.0,2,14,13,2,2022,0,0,1,0,0
34.0,4.7,12.935662,77.61413,12.975662,77.65413,3,3,1,1,1.0,2,30,3,4,2022,0,0,0,1,0
31.0,4.9,15.585658,73.743606,15.625658,73.783606,6,2,0,1,0.0,2,28,13,2,2022,0,0,0,1,0
24.0,4.7,0.0,0.0,0.13,0.13,1,1,0,1,1.0,2,39,16,3,2022,0,0,0,1,0
30.0,4.9,17.429585,78.392621,17.519585,78.482621,2,3,2,1,0.0,2,30,2,4,2022,0,0,1,0,0
36.0,4.8,26.766536,75.837333,26.896536,75.967333,4,3,0,1,1.0,2,36,20,3,2022,1,0,0,0,0
26.0,4.7,26.913987,75.752891,27.053987,75.892891,2,1,0,1,1.0,2,43,4,3,2022,0,0,1,0,0
20.0,4.8,0.0,0.0,0.03,0.03,5,3,2,2,1.0,2,25,11,2,2022,0,1,0,0,0
33.0,4.7,12.972532,77.608179,13.022532,77.658179,1,3,2,3,1.0,3,15,9,3,2022,1,0,0,0,0
29.6091523786525,,0.0,0.0,0.07,0.07,4,1,1,2,0.0,2,24,2,3,2022,0,0,0,1,0
34.0,4.0,19.103249,72.846749,19.193249,72.936749,3,1,0,1,2.0,2,39,12,3,2022,0,0,0,1,0
36.0,4.6,17.426228,78.407495,17.506228,78.487495,3,4,0,1,1.0,2,20,4,4,2022,1,0,0,0,0
33.0,4.6,26.471617,80.313564,26.491617,80.333564,1,4,1,1,1.0,2,15,11,2,2022,1,0,0,0,0
22.0,4.8,19.866969,75.318894,19.976969,75.428894,4,4,1,1,1.0,2,16,18,2,2022,0,1,0,0,0
38.0,4.7,18.593481,73.785901,18.603481,73.795901,6,4,2,2,1.0,2,19,19,3,2022,0,1,0,0,0
27.0,4.9,12.906229,77.596791,12.986229,77.676791,1,4,2,2,0.0,2,20,2,3,2022,0,1,0,0,0
32.0,4.8,26.482581,80.315628,26.552581,80.385628,6,1,2,2,1.0,2,25,14,2,2022,0,0,1,0,0
26.0,4.8,12.933298,77.614293,13.013298,77.694293,2,1,0,1,1.0,2,43,27,3,2022,0,0,0,1,0
29.0,4.5,22.751857,75.866699,22.881857,75.996699,3,4,0,1,0.0,3,15,4,3,2022,0,1,0,0,0
31.0,4.5,11.010375,76.95295,11.090375,77.03295,6,1,0,1,0.0,3,29,6,4,2022,1,0,0,0,0
28.0,4.6,17.483216,78.552111,17.523216,78.592111,5,2,2,1,0.0,2,14,26,3,2022,0,1,0,0,0
21.0,4.8,27.160934,78.044095,27.220934,78.104095,6,3,1,1,1.0,2,11,11,2,2022,1,0,0,0,0
30.0,4.9,0.0,0.0,0.08,0.08,3,4,1,1,1.0,2,29,18,3,2022,0,1,0,0,0
29.0,4.7,25.457687,81.835585,25.497687,81.875585,2,3,2,1,1.0,3,11,11,2,2022,1,0,0,0,0
20.0,4.8,19.12663,72.829976,19.13663,72.839976,6,2,1,1,0.0,2,14,28,3,2022,0,0,0,1,0
28.0,5.0,19.875016,75.322405,19.965016,75.412405,3,4,0,1,0.0,3,15,16,2,2022,0,0,0,1,0
25.0,4.7,19.178321,72.834715,19.248321,72.904715,4,4,0,1,1.0,2,16,16,3,2022,0,0,1,0,0
38.0,4.8,13.026279,80.174568,13.046279,80.194568,5,4,1,1,1.0,2,20,28,3,2022,1,0,0,0,0
39.0,4.9,17.455894,78.375467,17.485894,78.405467,5,4,1,1,1.0,2,26,3,3,2022,0,1,0,0,0
26.0,4.9,21.149834,72.778666,21.209834,72.838666,3,3,1,2,0.0,2,26,13,3,2022,0,0,0,1,0
