Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken_min,Day_Ordered,Month_Ordered,Year_Ordered
34.0,4.6,19.176269,72.836721,19.286269,72.946721,Stormy,Low,2,Buffet,scooter,1.0,No,Urban,20,2,4,2022
38.0,4.9,18.516216,73.842527,18.566216,73.892527,Fog,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,28,19,3,2022
23.0,4.7,22.310526,73.170937,22.340526,73.200937,Windy,Jam,1,Meal,scooter,1.0,No,Metropolitian,27,5,4,2022
33.0,4.8,11.006686,76.951736,11.016686,76.961736,Windy,High,2,Buffet,motorcycle,1.0,No,Metropolitian,27,3,4,2022
28.0,4.6,22.311358,73.164798,22.441358,73.294798,Cloudy,Medium,2,Meal,scooter,1.0,No,Metropolitian,25,4,3,2022
34.0,4.9,26.913726,75.75282,26.933726,75.77282,Fog,Low,2,Snack,scooter,1.0,No,Metropolitian,18,7,3,2022
37.0,4.7,21.149669,72.772629,21.259669,72.882629,Cloudy,Jam,2,Buffet,scooter,3.0,No,Metropolitian,48,2,4,2022
21.0,4.8,17.429585,78.392621,17.439585,78.402621,Cloudy,High,0,Meal,motorcycle,1.0,No,Metropolitian,20,30,3,2022
35.0,4.9,26.90294,75.793007,26.97294,75.863007,Stormy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,20,25,3,2022
32.0,4.2,12.972532,77.608179,13.032532,77.668179,Cloudy,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,33,13,3,2022
33.0,4.5,0.0,0.0,0.02,0.02,Sandstorms,Low,2,Drinks,scooter,1.0,No,Metropolitian,28,1,3,2022
35.0,5.0,18.51421,73.838429,18.52421,73.848429,Sandstorms,High,2,Meal,motorcycle,1.0,No,Metropolitian,26,3,3,2022
36.0,4.9,19.131141,72.813074,19.151141,72.833074,Cloudy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,17,3,3,2022
22.0,4.9,17.41233,78.449654,17.50233,78.539654,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,29,4,3,2022
24.0,2.6,26.90294,75.793007,26.99294,75.883007,Sunny,Low,1,Drinks,scooter,1.0,Yes,Metropolitian,43,12,3,2022
29.0,4.8,22.311358,73.164798,22.361358,73.214798,Sunny,Jam,1,Snack,scooter,0.0,No,Urban,13,19,3,2022
27.0,4.9,11.02091,76.940432,11.10091,77.020432,Fog,Low,1,Drinks,scooter,1.0,No,Metropolitian,27,6,3,2022
23.0,4.5,12.914264,77.6784,13.044264,77.8084,Windy,Medium,2,Drinks,scooter,1.0,No,Urban,26,31,3,2022
35.0,4.9,18.927584,72.832585,18.967584,72.872585,Fog,High,2,Buffet,motorcycle,1.0,No,Metropolitian,36,15,3,2022
23.0,4.6,0.0,0.0,0.06,0.06,Cloudy,Medium,2,Snack,scooter,1.0,No,Urban,16,3,3,2022
26.0,5.0,21.186884,72.793616,21.266884,72.873616,Fog,Low,1,Drinks,scooter,0.0,No,Metropolitian,21,29,3,2022
27.0,4.8,21.17106,72.789292,21.22106,72.839292,Sandstorms,Low,1,Snack,scooter,1.0,No,Metropolitian,14,1,3,2022
29.0,4.8,18.563934,73.915367,18.693935,74.045367,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,28,31,3,2022
30.0,4.8,18.554382,73.798206,18.604382,73.848206,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,25,21,3,2022
27.0,4.7,12.321214,76.621094,12.391214,76.691094,Fog,Jam,2,Snack,electric_scooter,0.0,No,Metropolitian,31,12,3,2022
20.0,4.5,22.311358,73.164798,22.441358,73.294798,Stormy,Low,2,Meal,electric_scooter,1.0,No,Metropolitian,17,12,3,2022
35.0,4.3,-25.443994,81.860187,25.473994,81.890187,Windy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,32,13,2,2022
30.0,4.6,12.972793,80.249982,13.102793,80.379982,Sunny,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,27,4,3,2022
37.0,4.5,27.165108,78.015053,27.185108,78.035053,Windy,High,1,Drinks,scooter,1.0,No,Metropolitian,27,15,2,2022
29.0,4.7,21.17106,72.789292,21.19106,72.809292,Stormy,High,2,Snack,scooter,1.0,No,Metropolitian,23,26,3,2022
28.0,4.9,22.53796,88.349843,22.60796,88.419843,Sunny,Jam,0,Meal,motorcycle,0.0,No,Urban,15,18,2,2022
37.0,4.8,15.303897,73.914336,15.363897,73.974336,Fog,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,36,11,2,2022
27.0,4.8,18.569156,73.774723,18.589156,73.794723,Fog,Low,2,Snack,motorcycle,1.0,No,Metropolitian,13,1,4,2022
39.0,4.8,26.913987,75.752891,26.943987,75.782891,Sunny,Low,1,Meal,scooter,,No,Urban,16,5,4,2022
24.0,4.6,18.539299,73.897902,18.559299,73.917902,Fog,High,1,Snack,scooter,1.0,No,Metropolitian,20,3,4,2022
32.0,5.0,22.745049,75.892471,22.875049,76.022471,Cloudy,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,47,6,3,2022
23.0,4.2,21.157735,72.768778,21.237735,72.848778,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,32,18,3,2022
39.0,4.5,17.411028,78.329645,17.471028,78.389645,Cloudy,Low,2,Buffet,motorcycle,0.0,No,Metropolitian,15,24,3,2022
37.0,4.5,17.429585,78.392621,17.499585,78.462621,Windy,Low,0,Meal,motorcycle,,No,Metropolitian,23,27,3,2022
23.0,4.5,21.185047,72.80859,21.235047,72.85859,Windy,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,23,17,3,2022
22.0,4.9,19.055831,72.833984,19.165831,72.943984,Cloudy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,22,2,3,2022
26.0,4.3,17.455894,78.375467,17.465894,78.385467,Windy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,26,3,3,2022
35.0,4.9,23.214294,77.435361,23.234294,77.455361,Fog,High,0,Drinks,motorcycle,1.0,No,Metropolitian,33,15,2,2022
24.0,4.3,26.905287,75.794592,27.015287,75.904592,Fog,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,43,8,3,2022
26.0,4.8,11.025083,77.015393,11.035083,77.025393,Cloudy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,18,19,3,2022
26.0,4.7,23.374989,85.335486,23.394989,85.355486,Sandstorms,High,1,Meal,scooter,0.0,No,Metropolitian,18,9,3,2022
39.0,4.6,26.90294,75.793007,26.93294,75.823007,Windy,Low,2,Drinks,electric_scooter,1.0,No,Urban,26,30,3,2022
34.0,4.3,18.516216,73.842527,18.576216,73.902527,Stormy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,31,13,3,2022
29.0,4.0,0.0,0.0,0.05,0.05,Fog,Jam,1,Snack,motorcycle,1.0,No,Urban,31,19,3,2022
31.0,4.5,12.970221,77.645396,13.040221,77.715396,Stormy,Jam,2,Snack,scooter,1.0,No,Metropolitian,28,4,4,2022
22.0,4.7,11.001852,76.976268,11.071852,77.046268,Stormy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,21,20,3,2022
25.0,4.4,0.0,0.0,0.08,0.08,Cloudy,Jam,1,Buffet,scooter,0.0,No,Metropolitian,38,8,3,2022
20.0,2.6,12.970221,77.645396,13.080221,77.755396,Sunny,Low,1,Snack,scooter,1.0,No,Metropolitian,32,27,3,2022
35.0,4.7,19.120083,72.907385,19.210083,72.997385,Windy,Medium,1,Snack,scooter,1.0,No,Metropolitian,23,2,4,2022
31.0,4.7,26.88842,75.800689,26.92842,75.840689,Sandstorms,Medium,1,Meal,scooter,1.0,No,Metropolitian,29,11,3,2022
32.0,4.9,22.31279,73.170283,22.37279,73.230283,Windy,Medium,2,Meal,electric_scooter,,No,Metropolitian,30,9,3,2022
,,19.121999,72.908493,19.161999,72.948493,Windy,Medium,2,Snack,electric_scooter,0.0,No,Urban,25,9,3,2022
32.0,5.0,12.337928,76.617889,12.417928,76.697889,Cloudy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,29,4,4,2022
37.0,4.3,19.003517,72.82765,19.113517,72.93765,Fog,Jam,1,Meal,scooter,2.0,No,Metropolitian,47,29,3,2022
30.0,4.8,11.021278,76.995017,11.101278,77.075017,Stormy,Low,2,Meal,scooter,1.0,No,Urban,25,14,3,2022
31.0,4.7,26.910262,75.783013,27.020262,75.893013,Sunny,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,29,20,3,2022
39.0,4.9,26.913726,75.75282,27.053726,75.89282,Sunny,Medium,2,Snack,motorcycle,0.0,No,Metropolitian,25,10,3,2022
27.0,4.9,21.157735,72.768778,21.237735,72.848778,Windy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,19,4,4,2022
26.0,4.9,26.902328,75.794257,26.982328,75.874257,Sandstorms,Low,1,Meal,motorcycle,0.0,No,Metropolitian,10,27,3,2022
29.0,4.9,25.457116,81.859682,25.547116,81.949682,Stormy,Medium,1,Drinks,scooter,1.0,No,Metropolitian,29,16,2,2022
22.0,4.5,12.311072,76.654878,12.371072,76.714878,Sunny,Jam,1,Snack,motorcycle,0.0,No,Metropolitian,14,7,3,2022
27.0,4.9,11.003681,76.975525,11.053681,77.025525,Stormy,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,20,17,3,2022
15.0,1.0,22.751857,75.866699,22.801857,75.916699,,,3,Buffet,bicycle,0.0,No,Metropolitian,28,24,3,2022
22.0,4.9,21.15276,72.778059,21.22276,72.848059,Windy,Low,0,Meal,motorcycle,1.0,No,Urban,16,20,3,2022
37.0,4.7,17.424114,78.347554,17.514114,78.437554,Sunny,Low,2,Meal,motorcycle,1.0,No,Metropolitian,28,14,3,2022
33.0,4.9,18.593481,73.785901,18.603481,73.795901,Sandstorms,Low,1,Snack,motorcycle,1.0,No,Metropolitian,25,15,3,2022
28.0,4.6,0.0,0.0,0.07,0.07,Fog,Jam,1,Drinks,scooter,1.0,No,Metropolitian,40,2,3,2022
32.0,4.1,18.563934,73.915367,18.623935,73.975367,Sandstorms,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,42,1,4,2022
27.0,4.9,12.906229,77.596791,12.986229,77.676791,Fog,Low,2,Drinks,scooter,0.0,No,Metropolitian,20,2,3,2022
25.0,4.7,25.449659,81.839744,25.529659,81.919744,Sunny,Medium,2,Meal,scooter,0.0,No,Metropolitian,17,14,2,2022
,,-23.374989,85.335486,23.454989,85.415486,Sunny,Jam,0,Snack,motorcycle,1.0,No,Urban,32,25,3,2022
27.0,4.7,22.725748,75.898497,22.855747,76.028497,Sandstorms,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,19,4,3,2022
,,26.956431,75.776649,27.006431,75.826649,Sandstorms,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,47,7,3,2022
23.0,4.5,22.651847,75.881991,22.721847,75.951991,Stormy,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,17,18,3,2022
31.0,4.9,13.022394,80.242439,13.072394,80.292439,Cloudy,Medium,1,Buffet,motorcycle,0.0,No,Metropolitian,16,15,3,2022
20.0,4.7,12.949934,77.699386,13.009934,77.759386,Windy,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,18,21,3,2022
37.0,4.0,21.160437,72.774209,21.270437,72.884209,Cloudy,Medium,1,Snack,motorcycle,1.0,No,Urban,35,29,3,2022
21.0,4.6,12.311072,76.654878,12.441072,76.784878,Stormy,Jam,0,Drinks,motorcycle,1.0,No,Urban,38,10,3,2022
24.0,4.8,22.311603,73.165012,22.321603,73.175012,Sunny,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,24,11,3,2022
38.0,4.4,30.361281,78.068022,30.421281,78.128022,Sandstorms,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,36,17,2,2022
24.0,4.8,26.911378,75.789034,27.041378,75.919034,Stormy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,20,10,3,2022
34.0,4.5,12.970324,77.645748,13.050324,77.725748,Sunny,Medium,1,Drinks,motorcycle,1.0,No,Urban,28,27,3,2022
27.0,4.9,19.055831,72.833984,19.135831,72.913984,Sandstorms,Low,1,Drinks,scooter,1.0,No,Metropolitian,18,16,3,2022
,,11.001753,76.986241,11.081753,77.066241,Fog,Medium,1,Meal,scooter,1.0,No,,29,20,3,2022
20.0,4.9,12.337928,76.617889,12.397928,76.677889,Sunny,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,13,5,3,2022
38.0,4.7,17.41233,78.449654,17.42233,78.459654,Windy,High,2,Buffet,motorcycle,1.0,No,Metropolitian,26,3,4,2022
22.0,5.0,22.651847,75.881991,22.671847,75.901991,Fog,Low,2,Drinks,scooter,1.0,No,Urban,18,7,3,2022
38.0,4.3,15.556561,73.763633,15.586561,73.793633,Stormy,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,34,17,2,2022
32.0,5.0,22.725748,75.898497,22.775748,75.948497,Cloudy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,33,21,3,2022
26.0,5.0,19.003517,72.82765,19.133517,72.95765,Sunny,Low,0,Snack,motorcycle,1.0,No,Metropolitian,24,6,3,2022
32.0,4.7,26.469003,80.316344,26.489003,80.336344,Sunny,Low,2,Drinks,motorcycle,0.0,No,Metropolitian,13,13,2,2022
20.0,4.9,12.325461,76.632278,12.385461,76.692278,Fog,Jam,1,Buffet,motorcycle,1.0,No,,22,3,4,2022
32.0,3.5,18.536562,73.896485,18.616562,73.976485,Cloudy,Low,1,Snack,motorcycle,2.0,No,Metropolitian,36,16,3,2022
23.0,4.7,26.88842,75.800689,26.96842,75.880689,Cloudy,Medium,2,Snack,scooter,1.0,No,Metropolitian,27,14,3,2022
33.0,3.1,12.935662,77.61413,13.045662,77.72413,Sunny,Low,0,Meal,motorcycle,2.0,No,Metropolitian,32,16,3,2022
39.0,4.8,12.970221,77.645396,13.020221,77.695396,Sunny,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,24,26,3,2022
37.0,4.7,12.326356,76.619103,12.346356,76.639103,Stormy,Low,1,Snack,scooter,1.0,No,Metropolitian,24,30,3,2022
20.0,4.6,18.51421,73.838429,18.55421,73.878429,Sunny,Medium,2,Meal,motorcycle,1.0,No,Urban,14,15,3,2022
29.0,4.9,30.342509,78.061187,30.382509,78.101187,Stormy,Medium,1,Buffet,motorcycle,0.0,No,Urban,23,11,2,2022
25.0,4.7,18.636215,73.751081,18.696215,73.811081,Stormy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,17,28,3,2022
28.0,5.0,22.745049,75.892471,22.825049,75.972471,Cloudy,Low,1,Meal,motorcycle,0.0,No,Metropolitian,20,20,3,2022
25.0,4.6,0.0,0.0,0.09,0.09,Stormy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,22,16,3,2022
22.0,4.9,12.352058,76.60665,12.382058,76.63665,Stormy,Low,2,Buffet,scooter,,,Urban,11,21,3,2022
29.0,4.7,13.022394,80.242439,13.092394,80.312439,Stormy,Low,1,Snack,motorcycle,0.0,No,Metropolitian,11,20,3,2022
39.0,4.7,11.025083,77.015393,11.095083,77.085393,Fog,Medium,0,Meal,motorcycle,1.0,No,Urban,40,25,3,2022
37.0,4.8,19.091458,72.827808,19.101458,72.837808,Sunny,Low,1,Meal,scooter,0.0,No,Urban,19,3,4,2022
36.0,4.9,12.975996,80.221898,13.105996,80.351898,Windy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,29,8,3,2022
33.0,5.0,17.429585,78.392621,17.439585,78.402621,Fog,High,1,Drinks,motorcycle,0.0,No,Urban,31,21,3,2022
25.0,4.2,21.149569,72.772697,21.259569,72.882697,Fog,Medium,1,Buffet,motorcycle,1.0,No,Urban,31,27,3,2022
28.0,5.0,0.0,0.0,0.02,0.02,Sunny,Low,2,Meal,scooter,,No,Urban,24,17,2,2022
32.0,4.9,11.025083,77.015393,11.035083,77.025393,Sunny,High,0,Meal,motorcycle,1.0,No,Metropolitian,24,17,3,2022
36.0,4.8,17.45971,78.368855,17.51971,78.428855,Cloudy,Jam,2,Meal,scooter,1.0,No,Metropolitian,32,19,3,2022
,,0.0,0.0,0.06,0.06,Sandstorms,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,46,3,4,2022
20.0,4.9,11.022169,76.999594,11.132169,77.109594,Stormy,Low,2,Snack,motorcycle,0.0,No,Metropolitian,14,27,3,2022
26.0,4.6,11.006686,76.951736,11.056686,77.001736,Sandstorms,Medium,1,Drinks,motorcycle,0.0,No,Urban,20,30,3,2022
27.0,4.8,22.753839,75.897429,22.833838,75.977429,Cloudy,Jam,0,Drinks,motorcycle,1.0,Yes,Metropolitian,40,29,3,2022
24.0,4.7,23.359033,85.325347,23.389033,85.355347,Stormy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,15,3,3,2022
,,0.0,0.0,0.07,0.07,Sandstorms,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,42,18,2,2022
25.0,4.9,19.875522,75.367127,19.935522,75.427127,Sunny,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,18,17,2,2022
25.0,4.6,21.175104,72.804342,21.285104,72.914342,Fog,Jam,1,Buffet,scooter,0.0,No,Metropolitian,33,4,3,2022
33.0,4.8,12.970324,77.645748,13.080324,77.755748,Fog,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,40,2,3,2022
28.0,5.0,17.426228,78.407495,17.466228,78.447495,Sunny,High,1,Snack,motorcycle,0.0,No,Urban,11,24,3,2022
37.0,4.9,23.353783,85.326967,23.413783,85.386967,Cloudy,Medium,1,Meal,motorcycle,0.0,No,Metropolitian,15,26,3,2022
24.0,4.7,13.026286,80.275235,13.086286,80.335235,Cloudy,Low,1,Meal,scooter,0.0,No,Metropolitian,15,21,3,2022
35.0,5.0,22.761226,75.887522,22.821226,75.947522,Fog,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,27,13,3,2022
22.0,4.9,17.451976,78.385883,17.461976,78.395883,Sunny,Low,0,Snack,motorcycle,1.0,No,Urban,10,28,3,2022
38.0,4.6,23.374989,85.335486,23.384989,85.345486,Stormy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,21,5,4,2022
29.0,4.6,18.516216,73.842527,18.546216,73.872527,Sunny,Jam,1,Drinks,scooter,0.0,No,Urban,13,24,3,2022
36.0,4.6,10.994136,76.963303,11.024136,76.993303,Sandstorms,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,31,28,3,2022
36.0,4.8,21.173493,72.801953,21.303493,72.931953,Sandstorms,Jam,0,Drinks,motorcycle,2.0,Yes,Metropolitian,52,29,3,2022
27.0,4.6,30.346994,78.062543,30.436994,78.152543,Windy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,19,18,2,2022
30.0,4.7,22.310329,73.169083,22.330329,73.189083,Fog,Low,2,Buffet,electric_scooter,0.0,No,Urban,15,9,3,2022
32.0,4.0,12.975377,77.696664,13.045377,77.766664,Windy,Medium,0,Buffet,motorcycle,3.0,Yes,Urban,49,23,3,2022
21.0,4.7,26.910262,75.783013,26.930262,75.803013,Cloudy,Low,0,Drinks,motorcycle,0.0,No,Urban,15,21,3,2022
38.0,4.9,26.90294,75.793007,26.91294,75.803007,Sunny,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,19,3,4,2022
38.0,3.7,13.054347,80.257221,13.164347,80.367221,Fog,Low,1,Buffet,motorcycle,2.0,No,Metropolitian,37,6,4,2022
39.0,4.7,11.024839,77.007003,11.054839,77.037003,Stormy,Medium,2,Meal,motorcycle,1.0,No,Metropolitian,25,24,3,2022
25.0,4.7,0.0,0.0,0.03,0.03,Sandstorms,Jam,2,Drinks,motorcycle,1.0,No,Urban,29,13,2,2022
36.0,4.6,23.39925,85.390464,23.47925,85.470464,Sandstorms,Jam,1,Buffet,scooter,1.0,No,Metropolitian,30,29,3,2022
25.0,4.9,11.001852,76.976268,11.061852,77.036268,Sunny,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,16,7,3,2022
28.0,4.0,26.902908,75.792934,26.982908,75.872934,Fog,Medium,2,Drinks,motorcycle,0.0,No,Metropolitian,34,2,3,2022
34.0,3.8,18.546258,73.904337,18.656258,74.014337,Stormy,Medium,1,Meal,scooter,0.0,No,Metropolitian,31,10,3,2022
,,12.986047,80.218114,12.996047,80.228114,Sandstorms,Low,1,Buffet,motorcycle,,No,Metropolitian,15,19,3,2022
22.0,4.6,12.934365,77.616155,13.014365,77.696155,Sunny,Jam,2,Drinks,scooter,1.0,No,Metropolitian,10,8,3,2022
34.0,4.4,30.366322,78.070453,30.506322,78.210453,Cloudy,Medium,2,Snack,motorcycle,1.0,No,Metropolitian,40,18,2,2022
33.0,4.9,27.163303,78.057044,27.193303,78.087044,Fog,Low,2,Drinks,electric_scooter,,No,Metropolitian,18,13,2,2022
27.0,4.2,18.546947,73.900626,18.556947,73.910626,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,26,13,3,2022
36.0,4.9,17.428294,78.404423,17.488294,78.464423,Stormy,Low,1,Meal,scooter,0.0,No,Urban,23,1,4,2022
21.0,4.7,26.921411,75.793604,26.961411,75.833604,Fog,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,15,30,3,2022
27.0,4.9,23.351058,85.325731,23.401058,85.375731,Stormy,Medium,1,Meal,scooter,0.0,No,Metropolitian,20,5,4,2022
28.0,4.9,17.433809,78.386744,17.493809,78.446744,Cloudy,Jam,2,Drinks,electric_scooter,1.0,No,Metropolitian,29,3,4,2022
28.0,4.8,19.12663,72.829976,19.19663,72.899976,Cloudy,Medium,2,Meal,scooter,1.0,No,Metropolitian,33,14,3,2022
26.0,5.0,17.426228,78.407495,17.436228,78.417495,Stormy,Low,2,Snack,scooter,0.0,No,Metropolitian,15,3,3,2022
24.0,4.2,19.176269,72.836721,19.246269,72.906721,Sandstorms,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,31,4,4,2022
39.0,3.9,23.355164,85.324097,23.465164,85.434097,Cloudy,Low,1,Drinks,scooter,1.0,No,Metropolitian,37,23,3,2022
